Box 0 
0 : 56078
1 : 56078
2 : 56078
3 : 56078
4 : 56078
5 : 56078
6 : 56078
7 : 56078
8 : 56078
9 : 56078
10 : 56078
11 : 56078
12 : 56078
13 : 56078
14 : 56078
15 : 56078
16 : 56078
17 : 56078
18 : 56078
19 : 56078
20 : 56078
21 : 56078
22 : 56078
23 : 56078
24 : 56078
25 : 56078
26 : 56078
27 : 56078
28 : 56078
29 : 56078
30 : 56078
31 : 56078
32 : 56078
33 : 56078
34 : 56078
35 : 56078
36 : 56078
37 : 56078
38 : 56078
39 : 56078
40 : 56078
41 : 56078
42 : 56078
43 : 56078
44 : 56078
45 : 56078
46 : 56078
47 : 56078
48 : 56078
49 : 56078
50 : 56078
51 : 56078
52 : 56078
53 : 56078
54 : 56078
55 : 56078
56 : 56078
57 : 56078
58 : 56078
59 : 56078
60 : 56078
61 : 56078
62 : 56078
63 : 56078
---------------Max Frequency key = 0 ------------------
Box 1 
0 : 55761
1 : 55761
2 : 55761
3 : 55761
4 : 55761
5 : 55761
6 : 55761
7 : 55761
8 : 55761
9 : 55761
10 : 55761
11 : 55761
12 : 55761
13 : 55761
14 : 55761
15 : 55761
16 : 55761
17 : 55761
18 : 55761
19 : 55761
20 : 55761
21 : 55761
22 : 55761
23 : 55761
24 : 55761
25 : 55761
26 : 55761
27 : 55761
28 : 55761
29 : 55761
30 : 55761
31 : 55761
32 : 55761
33 : 55761
34 : 55761
35 : 55761
36 : 55761
37 : 55761
38 : 55761
39 : 55761
40 : 55761
41 : 55761
42 : 55761
43 : 55761
44 : 55761
45 : 55761
46 : 55761
47 : 55761
48 : 55761
49 : 55761
50 : 55761
51 : 55761
52 : 55761
53 : 55761
54 : 55761
55 : 55761
56 : 55761
57 : 55761
58 : 55761
59 : 55761
60 : 55761
61 : 55761
62 : 55761
63 : 55761
---------------Max Frequency key = 0 ------------------
Box 2 
0 : 317
1 : 317
2 : 317
3 : 317
4 : 320
5 : 320
6 : 317
7 : 317
8 : 312
9 : 312
10 : 317
11 : 317
12 : 320
13 : 320
14 : 5328
15 : 5328
16 : 325
17 : 325
18 : 312
19 : 312
20 : 320
21 : 320
22 : 320
23 : 320
24 : 317
25 : 317
26 : 5328
27 : 5328
28 : 313
29 : 313
30 : 320
31 : 320
32 : 328
33 : 328
34 : 328
35 : 328
36 : 320
37 : 320
38 : 320
39 : 320
40 : 284
41 : 284
42 : 337
43 : 337
44 : 291
45 : 291
46 : 317
47 : 317
48 : 5328
49 : 5328
50 : 284
51 : 284
52 : 328
53 : 328
54 : 5328
55 : 5328
56 : 284
57 : 284
58 : 5328
59 : 5328
60 : 328
61 : 328
62 : 291
63 : 291
---------------Max Frequency key = 14 ------------------
Box 3 
0 : 55749
1 : 55750
2 : 60723
3 : 55753
4 : 55749
5 : 55750
6 : 60723
7 : 55752
8 : 55745
9 : 55741
10 : 55744
11 : 55757
12 : 55728
13 : 55713
14 : 55744
15 : 55757
16 : 55749
17 : 55750
18 : 60723
19 : 55752
20 : 55749
21 : 55750
22 : 60723
23 : 55753
24 : 55728
25 : 55713
26 : 55757
27 : 55744
28 : 55745
29 : 55741
30 : 55757
31 : 55744
32 : 55744
33 : 55757
34 : 55741
35 : 55745
36 : 55744
37 : 55757
38 : 55713
39 : 55728
40 : 55753
41 : 60723
42 : 55750
43 : 55749
44 : 55752
45 : 60723
46 : 55750
47 : 55749
48 : 55757
49 : 55744
50 : 55713
51 : 55728
52 : 55757
53 : 55744
54 : 55741
55 : 55745
56 : 55752
57 : 60723
58 : 55750
59 : 55749
60 : 55753
61 : 60723
62 : 55750
63 : 55749
---------------Max Frequency key = 2 ------------------
Box 4 
